Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Series A - Nexa AI,"San Francisco, California, United States","Generative AI, AI Infrastructure",Nexa AI,Series A,"$54,500,000","Feb 12, 2026",5,Apex Capital,Early Stage Venture
Seed - Sage Systems,"San Francisco, California, United States","AI Infrastructure, Generative AI",Sage Systems,Seed,"$8,400,000","Apr 21, 2026",1,Harbor Partners,Seed
Series B - Ketl.ai,"Cambridge, Massachusetts, United States","Generative AI, Agentic AI",Ketl.ai,Series B,"$27,400,000","Aug 1, 2025",2,"Lighthouse Capital Partners, Keystone Ventures",Early Stage Venture
Seed - Novaember Logic,"Austin, Texas, United States","Foundational AI, SaaS, Agentic AI",Novaember Logic,Seed,"$5,900,000","Oct 13, 2025",1,Northstar Growth,Seed
Seed - Onyx.ai,"Seattle, Washington, United States","AI Infrastructure, Agentic AI",Onyx.ai,Seed,"$900,000","Jun 19, 2025",4,Westbrook Growth,Seed
Series A - Aether.ai,"Toronto, Ontario, Canada","Generative AI, Agentic AI",Aether.ai,Series A,"$9,300,000","Nov 7, 2025",4,Highland Partners,Early Stage Venture
Seed - Quill Dynamics,"Cambridge, Massachusetts, United States",AI Infrastructure,Quill Dynamics,Seed,"$4,400,000","Mar 7, 2026",2,Highland Ventures,Seed
Seed - Synthlumen Cloud,"Atlanta, Georgia, United States","AI Infrastructure, SaaS",Synthlumen Cloud,Seed,"$5,700,000","Sep 30, 2025",4,Ascent Growth,Seed
Series D - Quant Dynamics,"Boston, Massachusetts, United States",Generative AI,Quant Dynamics,Series D,"$416,600,000","Jul 14, 2025",7,Sterling Capital Partners,Late Stage Venture
Series A - Cortex Core,"San Francisco, California, United States",AI Infrastructure,Cortex Core,Series A,"$7,200,000","Dec 19, 2025",4,Vista Capital,Early Stage Venture
Seed - Glide Compute,"Mountain View, California, United States","Generative AI, SaaS, Agentic AI",Glide Compute,Seed,"$1,900,000","Jan 18, 2026",3,Aurora Capital,Seed
Seed - Arc Labs,"Atlanta, Georgia, United States","Agentic AI, SaaS",Arc Labs,Seed,"$1,000,000","Dec 20, 2025",1,"Frontier Growth, Aurora Ventures",Seed
Seed - Solaceglide Dynamics,"Denver, Colorado, United States",Agentic AI,Solaceglide Dynamics,Seed,"$2,200,000","Mar 26, 2026",3,"Union Square Capital Partners, Brightwater Fund",Seed
Series D - Anchorframe.ai,"San Francisco, California, United States",AI Infrastructure,Anchorframe.ai,Series D,"$850,900,000","Feb 10, 2026",3,Northstar VC,Late Stage Venture
Seed - Cascade Layer,"San Francisco, California, United States",Generative AI,Cascade Layer,Seed,"$3,800,000","Dec 28, 2025",4,Summit Ventures,Seed
Series A - Opal Dynamics,"Denver, Colorado, United States",AI Infrastructure,Opal Dynamics,Series A,"$40,900,000","Feb 4, 2026",4,"Lakeside Ventures, Northstar Fund",Early Stage Venture
Series A - Prism AI,"Los Angeles, California, United States",Agentic AI,Prism AI,Series A,"$20,300,000","Aug 21, 2025",2,Pinnacle VC,Early Stage Venture
Seed - Prism,"San Diego, California, United States","SaaS, Generative AI",Prism,Seed,"$1,400,000","Aug 30, 2025",2,Lighthouse Capital Partners,Seed
Seed - Umbracipher,"Chicago, Illinois, United States","SaaS, Generative AI",Umbracipher,Seed,"$7,400,000","Apr 5, 2026",2,Cardinal Capital,Seed
Seed - Pinnacleyara Labs,"Austin, Texas, United States","Generative AI, Agentic AI, SaaS",Pinnacleyara Labs,Seed,"$3,400,000","May 6, 2026",4,Catalyst Capital,Seed
Seed - Ketl Grid,"San Francisco, California, United States",Generative AI,Ketl Grid,Seed,"$1,700,000","Nov 5, 2025",3,Aurora Group,Seed
Series D - Bloom Dynamics,"San Francisco, California, United States","Agentic AI, SaaS, AI Infrastructure",Bloom Dynamics,Series D,"$417,700,000","Nov 25, 2025",5,Lighthouse Capital,Late Stage Venture
Series B - Synth Works,"Austin, Texas, United States","SaaS, Generative AI",Synth Works,Series B,"$28,400,000","Jun 25, 2025",5,North Group,Early Stage Venture
Series D - Sift Grid,"Boston, Massachusetts, United States","Foundational AI, Agentic AI, AI Infrastructure",Sift Grid,Series D,"$997,200,000","Jun 18, 2025",5,Frontier Growth,Late Stage Venture
Series D - Lumen Compute,"Boston, Massachusetts, United States",Generative AI,Lumen Compute,Series D,"$387,500,000","Jun 16, 2025",6,"North VC, Westbrook VC",Late Stage Venture
Series C - Vector Intelligence,"Boston, Massachusetts, United States",Generative AI,Vector Intelligence,Series C,"$316,100,000","Oct 31, 2025",4,Brightwater VC,Late Stage Venture
Series A - Vox Systems,"Seattle, Washington, United States","Generative AI, AI Infrastructure",Vox Systems,Series A,"$73,700,000","Oct 28, 2025",2,Frontier Ventures,Early Stage Venture
Seed - Sable Systems,"New York, New York, United States",Foundational AI,Sable Systems,Seed,"$6,400,000","Jun 23, 2025",3,Frontier Growth,Seed
Seed - Sift Systems,"Denver, Colorado, United States",Generative AI,Sift Systems,Seed,"$2,400,000","Jul 2, 2025",4,"North Group, Catalyst Partners",Seed
Series B - Reify Labs,"Toronto, Ontario, Canada","AI Infrastructure, Generative AI, Agentic AI",Reify Labs,Series B,"$180,700,000","Aug 1, 2025",5,North VC,Early Stage Venture
Series D - Ketl Intelligence,"Seattle, Washington, United States","Generative AI, AI Infrastructure",Ketl Intelligence,Series D,"$642,300,000","Jul 5, 2025",3,Brightwater VC,Late Stage Venture
Series A - Mara.ai,"San Francisco, California, United States","Foundational AI, SaaS",Mara.ai,Series A,"$66,000,000","Jul 25, 2025",2,"Catalyst Partners, Harbor Capital Partners",Early Stage Venture
Series C - Vailcascade Grid,"New York, New York, United States",AI Infrastructure,Vailcascade Grid,Series C,"$255,300,000","Dec 20, 2025",5,"Ascent Capital, Keystone Fund",Late Stage Venture
Series C - Cascade Grid,"Austin, Texas, United States","Generative AI, SaaS, Agentic AI",Cascade Grid,Series C,"$63,300,000","Nov 12, 2025",5,"Westbrook VC, Ascent VC",Late Stage Venture
Seed - Tilde Grid,"Washington, District of Columbia, United States",SaaS,Tilde Grid,Seed,"$4,800,000","Nov 7, 2025",4,Stonebridge Ventures,Seed
Series C - Tensor Labs,"New York, New York, United States",Generative AI,Tensor Labs,Series C,"$50,000,000","Apr 22, 2026",3,"Pinnacle VC, Brightwater Capital Partners",Late Stage Venture
Series A - Grove,"San Jose, California, United States",SaaS,Grove,Series A,"$23,500,000","Jul 17, 2025",4,Ascent Capital,Early Stage Venture
Seed - Tildesynth Sense,"New York, New York, United States","SaaS, AI Infrastructure",Tildesynth Sense,Seed,"$3,000,000","Sep 23, 2025",3,"Sterling Capital, Ascent VC",Seed
Seed - Quill Sense,"New York, New York, United States","SaaS, Agentic AI, Generative AI",Quill Sense,Seed,"$1,500,000","Dec 9, 2025",3,Highland Fund,Seed
Series A - Pinnacle Works,"Austin, Texas, United States",Generative AI,Pinnacle Works,Series A,"$33,600,000","Oct 2, 2025",2,"Westbrook Capital Partners, Apex Capital",Early Stage Venture
Series B - Lattice Works,"New York, New York, United States","SaaS, Agentic AI",Lattice Works,Series B,"$85,400,000","Sep 6, 2025",4,"Union Square Capital, Lakeside Capital",Early Stage Venture
Series A - Larq Stack,"Chicago, Illinois, United States","SaaS, Foundational AI",Larq Stack,Series A,"$72,200,000","Aug 5, 2025",4,"Granite Capital Partners, Crescent Capital",Early Stage Venture
Series D - Sage Core,"San Jose, California, United States","AI Infrastructure, Generative AI, Agentic AI",Sage Core,Series D,"$305,000,000","Jan 27, 2026",3,"Granite Capital, Pinnacle Ventures",Late Stage Venture
Seed - Quillhalo Core,"San Francisco, California, United States","Foundational AI, SaaS, Generative AI",Quillhalo Core,Seed,"$4,800,000","Jan 21, 2026",2,Crescent Capital,Seed
Series B - Fablecascade Labs,"San Francisco, California, United States","AI Infrastructure, Generative AI",Fablecascade Labs,Series B,"$137,900,000","Jul 16, 2025",3,"Foundry Partners, Northstar VC",Early Stage Venture
Series A - Aether AI,"Los Angeles, California, United States","Agentic AI, Generative AI, AI Infrastructure",Aether AI,Series A,"$106,700,000","Sep 24, 2025",4,Highland Fund,Early Stage Venture
Series A - Quill Stack,"Boston, Massachusetts, United States","Generative AI, SaaS",Quill Stack,Series A,"$20,600,000","Aug 8, 2025",4,"Bay Capital, Pinnacle Capital Partners",Early Stage Venture
Series B - Cradle AI,"Austin, Texas, United States",SaaS,Cradle AI,Series B,"$47,100,000","Apr 30, 2026",2,Foundry Partners,Early Stage Venture
Seed - Glideforge AI,"New York, New York, United States","Generative AI, SaaS",Glideforge AI,Seed,"$2,600,000","Aug 18, 2025",2,"Brightwater Partners, Keystone Ventures",Seed
Seed - Arc Technologies,"Toronto, Ontario, Canada","AI Infrastructure, Generative AI",Arc Technologies,Seed,"$4,600,000","Jul 25, 2025",4,Summit Group,Seed
Series B - Tildesolace Stack,"New York, New York, United States","SaaS, Generative AI",Tildesolace Stack,Series B,"$143,000,000","Jul 17, 2025",6,Redwood Ventures,Early Stage Venture
Series C - Sablepylon Layer,"Washington, District of Columbia, United States","Agentic AI, SaaS",Sablepylon Layer,Series C,"$201,700,000","Jan 5, 2026",3,Sterling VC,Late Stage Venture
Seed - Anchor Logic,"Montreal, Quebec, Canada",AI Infrastructure,Anchor Logic,Seed,"$2,000,000","Nov 23, 2025",2,Apex Capital,Seed
Series D - Hale Core,"San Diego, California, United States",Agentic AI,Hale Core,Series D,"$161,500,000","Mar 19, 2026",8,North Capital,Late Stage Venture
Series A - Verge Grid,"San Francisco, California, United States",Generative AI,Verge Grid,Series A,"$18,100,000","Nov 8, 2025",2,"Apex Partners, Stonebridge Ventures",Early Stage Venture
Series B - Keystone Sense,"Austin, Texas, United States","AI Infrastructure, SaaS",Keystone Sense,Series B,"$24,300,000","Nov 25, 2025",5,Granite Capital Partners,Early Stage Venture
Series C - Larq Grid,"Washington, District of Columbia, United States","Generative AI, SaaS",Larq Grid,Series C,"$60,000,000","Oct 21, 2025",3,Harbor VC,Late Stage Venture
Series A - Delve Layer,"New York, New York, United States",Generative AI,Delve Layer,Series A,"$36,400,000","Feb 10, 2026",2,Highland Ventures,Early Stage Venture
Seed - Coda Stack,"Boston, Massachusetts, United States","SaaS, AI Infrastructure",Coda Stack,Seed,"$5,900,000","Jun 28, 2025",2,"Northstar Ventures, Granite Capital Partners",Seed
Series B - Coveprism.ai,"San Francisco, California, United States","SaaS, Generative AI",Coveprism.ai,Series B,"$37,900,000","Mar 8, 2026",6,Highland Fund,Early Stage Venture
Seed - Tilde.ai,"San Francisco, California, United States",Generative AI,Tilde.ai,Seed,"$2,100,000","Jun 24, 2025",1,"Compass Ventures, Highland Partners",Seed
Series A - Hyper Scale,"Chicago, Illinois, United States","Generative AI, AI Infrastructure, SaaS",Hyper Scale,Series A,"$26,100,000","Aug 30, 2025",3,"Harbor Ventures, Highland Fund",Early Stage Venture
Series A - Parse Core,"Toronto, Ontario, Canada","SaaS, Agentic AI",Parse Core,Series A,"$25,300,000","Oct 29, 2025",5,"Sterling Capital Partners, Highland Ventures",Early Stage Venture
Series A - Mosaic Scale,"San Francisco, California, United States","Foundational AI, SaaS, Agentic AI",Mosaic Scale,Series A,"$55,200,000","May 11, 2026",3,"Pinnacle Fund, Aurora Ventures",Early Stage Venture
Series A - Apex Scale,"Boston, Massachusetts, United States","Agentic AI, Generative AI",Apex Scale,Series A,"$26,000,000","Mar 1, 2026",4,"Northstar VC, Keystone Ventures",Early Stage Venture
Series A - Cortex Intelligence,"San Diego, California, United States",Generative AI,Cortex Intelligence,Series A,"$27,700,000","Dec 1, 2025",5,Apex Partners,Early Stage Venture
Series B - Atlas Sense,"San Diego, California, United States","SaaS, Agentic AI",Atlas Sense,Series B,"$27,500,000","Dec 16, 2025",5,"Lakeside Capital, Vista Fund",Early Stage Venture
Series D - Tensor Layer,"Toronto, Ontario, Canada",SaaS,Tensor Layer,Series D,"$411,700,000","Mar 7, 2026",8,"Harbor Fund, Meridian Partners",Late Stage Venture
Series A - Driftcascade Flow,"Boston, Massachusetts, United States","Generative AI, SaaS, AI Infrastructure",Driftcascade Flow,Series A,"$11,700,000","Nov 17, 2025",5,"Apex Ventures, Sterling VC",Early Stage Venture
Seed - Dyne Stack,"Boston, Massachusetts, United States",Generative AI,Dyne Stack,Seed,"$1,800,000","Sep 21, 2025",2,Lakeside Ventures,Seed
Seed - Lattice Intelligence,"Cambridge, Massachusetts, United States","Agentic AI, Generative AI",Lattice Intelligence,Seed,"$3,100,000","Apr 29, 2026",1,Harbor Capital Partners,Seed
Series A - Pinnacle Flow,"Montreal, Quebec, Canada","AI Infrastructure, Foundational AI, SaaS",Pinnacle Flow,Series A,"$37,000,000","Feb 20, 2026",4,Northstar Growth,Early Stage Venture
Series A - Cipher Cloud,"Montreal, Quebec, Canada",SaaS,Cipher Cloud,Series A,"$15,900,000","May 10, 2026",3,"Northstar VC, Highland Fund",Early Stage Venture
Seed - Ketl Systems,"San Francisco, California, United States","SaaS, Foundational AI",Ketl Systems,Seed,"$7,400,000","Jun 28, 2025",2,"Granite Capital Partners, Union Square Capital Partners",Seed
Series A - Parse Layer,"New York, New York, United States",Generative AI,Parse Layer,Series A,"$21,700,000","Mar 27, 2026",2,"Union Square Capital Partners, Pinnacle Capital Partners",Early Stage Venture
Series C - Quill Systems,"Toronto, Ontario, Canada",SaaS,Quill Systems,Series C,"$130,000,000","Sep 21, 2025",4,"Foundry Group, Meridian Partners",Late Stage Venture
Series D - Tessneur Technologies,"Boston, Massachusetts, United States",AI Infrastructure,Tessneur Technologies,Series D,"$336,800,000","Sep 16, 2025",8,"Harbor Capital Partners, Stonebridge Capital",Late Stage Venture
Series A - Prism Works,"San Francisco, California, United States","Foundational AI, Generative AI",Prism Works,Series A,"$50,000,000","Jul 21, 2025",3,"Bay Capital, Northstar Ventures",Early Stage Venture
Seed - Axi Intelligence,"New York, New York, United States","Generative AI, Foundational AI",Axi Intelligence,Seed,"$9,100,000","Mar 17, 2026",3,"Northstar VC, North VC",Seed
Seed - Ketl Works,"San Francisco, California, United States",Generative AI,Ketl Works,Seed,"$3,100,000","Mar 10, 2026",1,Westbrook VC,Seed
Seed - Pace Intelligence,"Toronto, Ontario, Canada",SaaS,Pace Intelligence,Seed,"$3,500,000","Dec 25, 2025",2,"Harbor VC, Frontier Growth",Seed
Series A - Lattice Technologies,"New York, New York, United States","Foundational AI, SaaS, Generative AI",Lattice Technologies,Series A,"$38,500,000","Apr 11, 2026",3,"Sterling Capital Partners, Compass Ventures",Early Stage Venture
Seed - Spark Grid,"San Francisco, California, United States","AI Infrastructure, SaaS",Spark Grid,Seed,"$6,200,000","Sep 28, 2025",1,"Pinnacle Growth, Greylock Capital",Seed
Series A - Glide Sense,"Palo Alto, California, United States","SaaS, Generative AI, AI Infrastructure",Glide Sense,Series A,"$46,400,000","Dec 10, 2025",5,Pinnacle Fund,Early Stage Venture
Series C - Prism Sense,"Denver, Colorado, United States",Generative AI,Prism Sense,Series C,"$65,200,000","Jun 4, 2025",7,"Beacon Ventures, North VC",Late Stage Venture
Seed - Vela Logic,"Denver, Colorado, United States","Generative AI, Agentic AI",Vela Logic,Seed,"$4,300,000","Jul 29, 2025",4,"Cardinal Capital, Meridian VC",Seed
Series A - Verge,"San Francisco, California, United States","Agentic AI, Generative AI",Verge,Series A,"$22,100,000","Aug 25, 2025",4,"Pinnacle Growth, Apex Capital",Early Stage Venture
Series A - Beacon Systems,"Cambridge, Massachusetts, United States","Generative AI, SaaS",Beacon Systems,Series A,"$18,800,000","Dec 28, 2025",3,"Crescent Capital, Pinnacle Ventures",Early Stage Venture
Series A - Keystone Layer,"San Francisco, California, United States",SaaS,Keystone Layer,Series A,"$44,300,000","Feb 14, 2026",5,"Westbrook VC, Redwood Ventures",Early Stage Venture
Seed - Drift Systems,"San Francisco, California, United States","AI Infrastructure, SaaS, Generative AI",Drift Systems,Seed,"$7,900,000","May 14, 2026",4,Brightwater Capital Partners,Seed
Series C - Hale Flow,"Denver, Colorado, United States","Agentic AI, SaaS",Hale Flow,Series C,"$136,000,000","Sep 28, 2025",3,Foundry Group,Late Stage Venture
Series A - Neur,"Boston, Massachusetts, United States",SaaS,Neur,Series A,"$13,200,000","Dec 27, 2025",4,Northstar VC,Early Stage Venture
Series A - Vox,"Palo Alto, California, United States",SaaS,Vox,Series A,"$30,700,000","Mar 13, 2026",5,Granite Capital Partners,Early Stage Venture
Series A - Vertex Flow,"Atlanta, Georgia, United States",Agentic AI,Vertex Flow,Series A,"$32,700,000","May 25, 2026",3,Northstar Growth,Early Stage Venture
Series A - Hyper Compute,"Seattle, Washington, United States",AI Infrastructure,Hyper Compute,Series A,"$25,300,000","Oct 13, 2025",3,Westbrook VC,Early Stage Venture
Seed - Bloom Sense,"Vancouver, British Columbia, Canada",SaaS,Bloom Sense,Seed,"$5,700,000","Feb 21, 2026",3,Westbrook Capital Partners,Seed
Series A - Zenith Dynamics,"Vancouver, British Columbia, Canada","AI Infrastructure, SaaS",Zenith Dynamics,Series A,"$15,800,000","May 9, 2026",5,Summit Group,Early Stage Venture
Series A - Beacon Scale,"San Jose, California, United States","Generative AI, Agentic AI",Beacon Scale,Series A,"$36,200,000","Sep 8, 2025",5,"Pinnacle Partners, Aurora Group",Early Stage Venture
Seed - Nexa Sense,"Montreal, Quebec, Canada",Generative AI,Nexa Sense,Seed,"$4,200,000","Mar 16, 2026",4,"Catalyst Capital, Highland Partners",Seed
Series B - Lumen Dynamics,"San Francisco, California, United States","SaaS, Agentic AI, Generative AI",Lumen Dynamics,Series B,"$55,900,000","Oct 6, 2025",4,Apex Partners,Early Stage Venture
